Player,Player Link,Minutes,Runs,Balls Faced,Fours,Sixes,Strike Rate,Inns,Opposition,Ground,Start Date
DA Warner,/ci/content/player/219889.html,186,179,128,19,5,139.84,1,Pakistan,Adelaide,26 Jan 2017
DA Warner,/ci/content/player/219889.html,164,178,133,19,5,133.83,1,Afghanistan,Perth,4 Mar 2015
DA Warner,/ci/content/player/219889.html,218,173,136,24,0,127.20,2,South Africa,Cape Town,12 Oct 2016
SPD Smith,/ci/content/player/267192.html,206,164,157,14,4,104.45,1,New Zealand,Sydney,4 Dec 2016
DA Warner,/ci/content/player/219889.html,214,156,128,13,4,121.87,1,New Zealand,Melbourne,9 Dec 2016
SPD Smith,/ci/content/player/267192.html,179,149,135,11,2,110.37,2,India,Perth,12 Jan 2016
MP Stoinis,/ci/content/player/325012.html,161,146*,117,9,11,124.78,2,New Zealand,Auckland,30 Jan 2017
AJ Finch,/ci/content/player/5334.html,158,135,128,12,3,105.46,1,England,Melbourne,14 Feb 2015
DA Warner,/ci/content/player/219889.html,156,130,119,11,2,109.24,1,Pakistan,Sydney,22 Jan 2017
TM Head,/ci/content/player/530011.html,219,128,137,9,3,93.43,1,Pakistan,Adelaide,26 Jan 2017
DA Warner,/ci/content/player/219889.html,169,127,115,18,0,110.43,2,England,Sydney,16 Jan 2015
DA Warner,/ci/content/player/219889.html,171,122,113,9,3,107.96,1,India,Sydney,23 Jan 2016
DA Warner,/ci/content/player/219889.html,149,119,115,14,1,103.47,1,New Zealand,Canberra,6 Dec 2016
DA Warner,/ci/content/player/219889.html,139,117,107,13,2,109.34,1,South Africa,Durban,5 Oct 2016
GJ Bailey,/ci/content/player/4451.html,137,112,120,7,2,93.33,2,India,Perth,12 Jan 2016
DA Warner,/ci/content/player/219889.html,157,109,120,11,2,90.83,1,South Africa,Basseterre,11 Jun 2016
SPD Smith,/ci/content/player/267192.html,157,108*,104,11,1,103.84,2,Pakistan,Perth,19 Jan 2017
SPD Smith,/ci/content/player/267192.html,136,108,107,9,1,100.93,1,South Africa,Durban,5 Oct 2016
AJ Finch,/ci/content/player/5334.html,153,107,107,9,2,100.00,1,India,Canberra,20 Jan 2016
DA Warner,/ci/content/player/219889.html,167,106,126,9,0,84.12,2,Sri Lanka,Pallekele,4 Sep 2016
SPD Smith,/ci/content/player/267192.html,121,105,93,11,2,112.90,1,India,Sydney,26 Mar 2015
SPD Smith,/ci/content/player/267192.html,168,102*,95,6,1,107.36,2,England,Hobart,23 Jan 2015
MR Marsh,/ci/content/player/272450.html,126,102*,84,9,2,121.42,1,India,Sydney,23 Jan 2016
GJ Maxwell,/ci/content/player/325026.html,73,102,53,10,4,192.45,1,Sri Lanka,Sydney,8 Mar 2015
MS Wade,/ci/content/player/230193.html,150,100*,100,7,2,100.00,1,Pakistan,Brisbane,13 Jan 2017
DA Warner,/ci/content/player/219889.html,120,98,79,8,4,124.05,2,New Zealand,Wellington,6 Feb 2016
UT Khawaja,/ci/content/player/215155.html,178,98,123,4,3,79.67,1,West Indies,Basseterre,13 Jun 2016
AJ Finch,/ci/content/player/5334.html,161,96,127,5,2,75.59,2,India,Melbourne,18 Jan 2015
GJ Maxwell,/ci/content/player/325026.html,104,96,83,8,3,115.66,2,India,Melbourne,17 Jan 2016
GJ Maxwell,/ci/content/player/325026.html,116,95,98,15,0,96.93,1,England,Perth,1 Feb 2015
SPD Smith,/ci/content/player/267192.html,173,95,98,8,1,96.93,1,Afghanistan,Perth,4 Mar 2015
DA Warner,/ci/content/player/219889.html,120,93,92,12,1,101.08,1,India,Canberra,20 Jan 2016
GJ Bailey,/ci/content/player/4451.html,93,90*,85,11,1,105.88,2,Sri Lanka,Dambulla,31 Aug 2016
GJ Maxwell,/ci/content/player/325026.html,45,88,39,6,7,225.64,1,Afghanistan,Perth,4 Mar 2015
GJ Maxwell,/ci/content/player/325026.html,81,85,64,10,2,132.81,1,England,Leeds,11 Sep 2015
DA Warner,/ci/content/player/219889.html,112,84,80,7,3,105.00,1,Ireland,Belfast,27 Aug 2015
UT Khawaja,/ci/content/player/215155.html,126,82*,77,8,2,106.49,2,Ireland,Benoni,27 Sep 2016
PSP Handscomb,/ci/content/player/334337.html,127,82,84,6,0,97.61,2,Pakistan,Perth,19 Jan 2017
AJ Finch,/ci/content/player/5334.html,160,81,116,7,1,69.82,1,India,Sydney,26 Mar 2015
MR Marsh,/ci/content/player/272450.html,123,79*,85,6,0,92.94,2,West Indies,Bridgetown,21 Jun 2016
SPD Smith,/ci/content/player/267192.html,145,78,107,5,0,72.89,2,West Indies,Bridgetown,21 Jun 2016
GJ Maxwell,/ci/content/player/325026.html,70,78,44,10,1,177.27,1,Pakistan,Sydney,22 Jan 2017
GJ Bailey,/ci/content/player/4451.html,78,76*,58,6,1,131.03,2,India,Brisbane,15 Jan 2016
MR Marsh,/ci/content/player/272450.html,59,76*,40,2,7,190.00,1,New Zealand,Canberra,6 Dec 2016
MS Wade,/ci/content/player/230193.html,118,76,88,3,0,86.36,2,Sri Lanka,Colombo (RPS),24 Aug 2016
GJ Bailey,/ci/content/player/4451.html,126,75,110,6,1,68.18,1,England,Leeds,11 Sep 2015
MJ Clarke,/ci/content/player/4578.html,84,74,72,10,1,102.77,2,New Zealand,Melbourne,29 Mar 2015
SPD Smith,/ci/content/player/267192.html,135,74,95,5,2,77.89,1,West Indies,Basseterre,13 Jun 2016
GJ Bailey,/ci/content/player/4451.html,146,74,90,7,2,82.22,1,South Africa,Centurion,30 Sep 2016
SPD Smith,/ci/content/player/267192.html,107,72,88,7,1,81.81,1,Sri Lanka,Sydney,8 Mar 2015
AJ Finch,/ci/content/player/5334.html,134,72,103,6,3,69.90,2,South Africa,Providence,7 Jun 2016
SPD Smith,/ci/content/player/267192.html,112,72,76,6,1,94.73,1,New Zealand,Canberra,6 Dec 2016
MS Wade,/ci/content/player/230193.html,61,71*,50,12,0,142.00,1,England,Southampton,3 Sep 2015
TM Head,/ci/content/player/530011.html,95,71*,64,5,2,110.93,1,England,Birmingham,10 Jun 2017
AJ Finch,/ci/content/player/5334.html,97,71,81,7,1,87.65,2,India,Brisbane,15 Jan 2016
SE Marsh,/ci/content/player/6683.html,121,71,84,5,0,84.52,2,India,Brisbane,15 Jan 2016
AJ Finch,/ci/content/player/5334.html,94,70*,64,11,1,109.37,2,England,Manchester,13 Sep 2015
SPD Smith,/ci/content/player/267192.html,133,70,87,7,0,80.45,1,England,Lord's,5 Sep 2015
GJ Bailey,/ci/content/player/4451.html,142,70,99,5,0,70.70,2,Sri Lanka,Dambulla,28 Aug 2016
MR Marsh,/ci/content/player/272450.html,110,69*,72,9,1,95.83,2,New Zealand,Wellington,6 Feb 2016
JA Burns,/ci/content/player/326632.html,91,69,70,7,1,98.57,1,Ireland,Belfast,27 Aug 2015
MJ Clarke,/ci/content/player/4578.html,82,68,68,6,0,100.00,1,Sri Lanka,Sydney,8 Mar 2015
AJ Finch,/ci/content/player/5334.html,98,68,64,8,0,106.25,1,England,Birmingham,10 Jun 2017
SR Watson,/ci/content/player/8180.html,86,67,41,7,2,163.41,1,Sri Lanka,Sydney,8 Mar 2015
GJ Maxwell,/ci/content/player/325026.html,63,66,40,11,0,165.00,1,England,Melbourne,14 Feb 2015
SPD Smith,/ci/content/player/267192.html,115,65,69,7,0,94.20,2,Pakistan,Adelaide,20 Mar 2015
SR Watson,/ci/content/player/8180.html,114,64*,66,7,1,96.96,2,Pakistan,Adelaide,20 Mar 2015
MR Marsh,/ci/content/player/272450.html,43,64,31,7,3,206.45,1,England,Lord's,5 Sep 2015
SE Marsh,/ci/content/player/6683.html,116,62,73,6,0,84.93,2,India,Melbourne,17 Jan 2016
MR Marsh,/ci/content/player/272450.html,99,60,68,7,1,88.23,1,England,Perth,1 Feb 2015
GJ Maxwell,/ci/content/player/325026.html,77,60,56,7,0,107.14,1,Pakistan,Brisbane,13 Jan 2017
SPD Smith,/ci/content/player/267192.html,155,60,101,2,0,59.40,1,Pakistan,Melbourne,15 Jan 2017
SPD Smith,/ci/content/player/267192.html,87,59*,74,6,1,79.72,2,Ireland,Benoni,27 Sep 2016
DA Warner,/ci/content/player/219889.html,108,59,67,6,0,88.05,1,England,Southampton,3 Sep 2015
UT Khawaja,/ci/content/player/215155.html,118,59,71,4,1,83.09,1,South Africa,Basseterre,11 Jun 2016
SPD Smith,/ci/content/player/267192.html,124,58,92,5,0,63.04,2,Sri Lanka,Colombo (RPS),21 Aug 2016
MS Wade,/ci/content/player/230193.html,83,57*,52,2,3,109.61,1,West Indies,Bridgetown,26 Jun 2016
TM Head,/ci/content/player/530011.html,56,57,32,6,2,178.12,1,New Zealand,Canberra,6 Dec 2016
SPD Smith,/ci/content/player/267192.html,137,56*,71,3,0,78.87,2,New Zealand,Melbourne,29 Mar 2015
AJ Finch,/ci/content/player/5334.html,58,56,46,7,2,121.73,2,Sri Lanka,Colombo (RPS),21 Aug 2016
AJ Finch,/ci/content/player/5334.html,86,56,64,5,2,87.50,2,New Zealand,Hamilton,5 Feb 2017
SPD Smith,/ci/content/player/267192.html,104,56,77,5,0,72.72,1,England,Birmingham,10 Jun 2017
DA Warner,/ci/content/player/219889.html,110,55*,55,3,1,100.00,2,West Indies,Providence,5 Jun 2016
GJ Bailey,/ci/content/player/4451.html,113,55,69,3,0,79.71,1,England,Melbourne,14 Feb 2015
GJ Bailey,/ci/content/player/4451.html,77,55,56,1,2,98.21,1,West Indies,Basseterre,13 Jun 2016
AJ Finch,/ci/content/player/5334.html,26,55,19,8,3,289.47,2,Sri Lanka,Dambulla,31 Aug 2016
GJ Bailey,/ci/content/player/4451.html,78,54,72,5,0,75.00,1,England,Lord's,5 Sep 2015
AJ Finch,/ci/content/player/5334.html,86,53,60,8,0,88.33,2,England,Manchester,8 Sep 2015
AJ Finch,/ci/content/player/5334.html,55,53,34,3,4,155.88,1,South Africa,Durban,5 Oct 2016
TM Head,/ci/content/player/530011.html,97,53,72,5,0,73.61,2,New Zealand,Hamilton,5 Feb 2017
SPD Smith,/ci/content/player/267192.html,66,52*,49,5,1,106.12,1,South Africa,Basseterre,11 Jun 2016
MS Wade,/ci/content/player/230193.html,96,52,58,5,2,89.65,1,South Africa,Port Elizabeth,9 Oct 2016
TM Head,/ci/content/player/530011.html,88,52,60,5,0,86.66,1,New Zealand,Sydney,4 Dec 2016
SPD Smith,/ci/content/player/267192.html,37,51,29,4,3,175.86,1,India,Canberra,20 Jan 2016
JW Hastings,/ci/content/player/228622.html,63,51,56,6,2,91.07,1,South Africa,Centurion,30 Sep 2016
TM Head,/ci/content/player/530011.html,59,51,45,5,2,113.33,2,South Africa,Johannesburg,2 Oct 2016
TM Head,/ci/content/player/530011.html,55,51,36,2,4,141.66,1,Pakistan,Sydney,22 Jan 2017
JP Faulkner,/ci/content/player/270484.html,34,50*,24,4,4,208.33,1,England,Perth,1 Feb 2015
MS Wade,/ci/content/player/230193.html,42,50*,26,3,3,192.30,1,England,Leeds,11 Sep 2015
UT Khawaja,/ci/content/player/215155.html,59,50,49,7,0,102.04,2,New Zealand,Wellington,6 Feb 2016
DA Warner,/ci/content/player/219889.html,93,50,56,7,1,89.28,2,South Africa,Johannesburg,2 Oct 2016
MR Marsh,/ci/content/player/272450.html,101,50,72,5,1,69.44,1,South Africa,Port Elizabeth,9 Oct 2016
GJ Maxwell,/ci/content/player/325026.html,41,49,38,4,3,128.94,1,England,Lord's,5 Sep 2015
SPD Smith,/ci/content/player/267192.html,83,49,48,5,0,102.08,1,Pakistan,Sydney,22 Jan 2017
JW Hastings,/ci/content/player/228622.html,65,48*,47,5,1,102.12,2,New Zealand,Wellington,6 Feb 2016
DA Warner,/ci/content/player/219889.html,38,48,30,5,2,160.00,2,Ireland,Benoni,27 Sep 2016
SPD Smith,/ci/content/player/267192.html,66,47,52,6,0,90.38,2,India,Melbourne,18 Jan 2015
MJ Clarke,/ci/content/player/4578.html,55,47,47,7,2,100.00,2,Scotland,Hobart,14 Mar 2015
AJ Finch,/ci/content/player/5334.html,57,47,41,6,1,114.63,1,West Indies,Bridgetown,26 Jun 2016
GJ Maxwell,/ci/content/player/325026.html,32,46*,26,5,2,176.92,2,West Indies,Bridgetown,21 Jun 2016
SPD Smith,/ci/content/player/267192.html,67,46,47,4,0,97.87,2,India,Brisbane,15 Jan 2016
SPD Smith,/ci/content/player/267192.html,106,46,59,4,0,77.96,1,West Indies,Bridgetown,26 Jun 2016
SE Marsh,/ci/content/player/6683.html,67,45,48,6,0,93.75,2,England,Hobart,23 Jan 2015
DA Warner,/ci/content/player/219889.html,51,45,46,7,0,97.82,2,New Zealand,Melbourne,29 Mar 2015
GJ Maxwell,/ci/content/player/325026.html,37,44*,29,5,2,151.72,2,Pakistan,Adelaide,20 Mar 2015
JA Burns,/ci/content/player/326632.html,61,44,53,5,0,83.01,1,England,Southampton,3 Sep 2015
SPD Smith,/ci/content/player/267192.html,62,44,54,3,1,81.48,1,England,Southampton,3 Sep 2015
UT Khawaja,/ci/content/player/215155.html,46,44,36,4,2,122.22,2,New Zealand,Hamilton,8 Feb 2016
GJ Bailey,/ci/content/player/4451.html,110,44,73,2,0,60.27,2,Sri Lanka,Pallekele,4 Sep 2016
BJ Haddin,/ci/content/player/5560.html,70,43,41,4,2,104.87,1,New Zealand,Auckland,28 Feb 2015
BJ Haddin,/ci/content/player/5560.html,50,42,29,4,1,144.82,2,England,Hobart,23 Jan 2015
MS Wade,/ci/content/player/230193.html,60,42,41,5,0,102.43,2,England,Manchester,8 Sep 2015
MS Wade,/ci/content/player/230193.html,68,42,46,3,0,91.30,2,Sri Lanka,Dambulla,28 Aug 2016
MP Stoinis,/ci/content/player/325012.html,77,42,48,4,1,87.50,2,New Zealand,Hamilton,5 Feb 2017
GJ Bailey,/ci/content/player/4451.html,55,41*,45,7,0,91.11,2,England,Manchester,13 Sep 2015
SR Watson,/ci/content/player/8180.html,47,41,39,5,1,105.12,2,India,Melbourne,18 Jan 2015
SPD Smith,/ci/content/player/267192.html,45,41,45,5,0,91.11,2,India,Melbourne,17 Jan 2016
GJ Maxwell,/ci/content/player/325026.html,29,41,20,6,1,205.00,1,India,Canberra,20 Jan 2016
MR Marsh,/ci/content/player/272450.html,58,41,42,4,1,97.61,2,New Zealand,Hamilton,8 Feb 2016
MR Marsh,/ci/content/player/272450.html,54,40*,34,2,1,117.64,1,England,Southampton,3 Sep 2015
DA Warner,/ci/content/player/219889.html,75,40*,44,2,0,90.90,2,Bangladesh,The Oval,5 Jun 2017
SPD Smith,/ci/content/player/267192.html,73,40,50,5,0,80.00,1,England,Perth,1 Feb 2015
TM Head,/ci/content/player/530011.html,77,40,60,2,0,66.66,2,Sri Lanka,Dambulla,31 Aug 2016
DA Warner,/ci/content/player/219889.html,41,40,36,5,1,111.11,1,South Africa,Centurion,30 Sep 2016
SR Watson,/ci/content/player/8180.html,55,39,38,1,2,102.63,1,England,Lord's,5 Sep 2015
GJ Bailey,/ci/content/player/4451.html,76,39,54,3,0,72.22,2,Sri Lanka,Colombo (RPS),21 Aug 2016
TM Head,/ci/content/player/530011.html,61,39,39,5,0,100.00,1,Pakistan,Brisbane,13 Jan 2017
GJ Maxwell,/ci/content/player/325026.html,-,39,18,3,4,216.66,2,India,Chennai,17 Sep 2017
MS Wade,/ci/content/player/230193.html,42,38,22,1,3,172.72,1,New Zealand,Sydney,4 Dec 2016
SPD Smith,/ci/content/player/267192.html,62,37,47,2,1,78.72,2,England,Sydney,16 Jan 2015
GJ Maxwell,/ci/content/player/325026.html,39,37,38,4,0,97.36,2,England,Hobart,23 Jan 2015
MS Wade,/ci/content/player/230193.html,58,37,38,3,2,97.36,2,New Zealand,Auckland,3 Feb 2016
TM Head,/ci/content/player/530011.html,82,37,70,2,0,52.85,1,New Zealand,Melbourne,9 Dec 2016
MS Wade,/ci/content/player/230193.html,39,36,27,2,1,133.33,1,India,Sydney,23 Jan 2016
JP Faulkner,/ci/content/player/270484.html,60,36,33,6,0,109.09,2,New Zealand,Auckland,3 Feb 2016
TM Head,/ci/content/player/530011.html,49,36,48,5,0,75.00,2,Sri Lanka,Dambulla,28 Aug 2016
PJ Cummins,/ci/content/player/489889.html,30,36,28,5,1,128.57,2,New Zealand,Auckland,30 Jan 2017
JP Faulkner,/ci/content/player/270484.html,44,35,43,4,0,81.39,2,England,Hobart,23 Jan 2015
TM Head,/ci/content/player/530011.html,27,35,18,4,1,194.44,1,South Africa,Durban,5 Oct 2016
MR Marsh,/ci/content/player/272450.html,43,35,38,2,2,92.10,2,South Africa,Cape Town,12 Oct 2016
TM Head,/ci/content/player/530011.html,62,35,43,4,0,81.39,2,South Africa,Cape Town,12 Oct 2016
MS Wade,/ci/content/player/230193.html,72,35,56,3,0,62.50,1,Pakistan,Melbourne,15 Jan 2017
DA Warner,/ci/content/player/219889.html,36,35,38,5,0,92.10,2,Pakistan,Perth,19 Jan 2017
JW Hastings,/ci/content/player/228622.html,33,34*,26,3,2,130.76,1,England,Leeds,11 Sep 2015
DA Warner,/ci/content/player/219889.html,58,34,42,2,1,80.95,1,New Zealand,Auckland,28 Feb 2015
GJ Bailey,/ci/content/player/4451.html,48,34,46,5,0,73.91,2,West Indies,Bridgetown,21 Jun 2016
MR Marsh,/ci/content/player/272450.html,62,33,42,3,0,78.57,1,India,Canberra,20 Jan 2016
GJ Bailey,/ci/content/player/4451.html,74,33,60,3,0,55.00,2,New Zealand,Hamilton,8 Feb 2016
AJ Finch,/ci/content/player/5334.html,57,33,28,4,2,117.85,1,South Africa,Centurion,30 Sep 2016
MS Wade,/ci/content/player/230193.html,46,33,33,5,0,100.00,2,South Africa,Johannesburg,2 Oct 2016
JP Faulkner,/ci/content/player/270484.html,-,32*,25,1,1,128.00,2,India,Chennai,17 Sep 2017
AJ Finch,/ci/content/player/5334.html,49,32,32,3,0,100.00,2,England,Hobart,23 Jan 2015
MR Marsh,/ci/content/player/272450.html,55,32,45,4,0,71.11,1,West Indies,Bridgetown,26 Jun 2016
BJ Haddin,/ci/content/player/5560.html,23,31,14,5,0,221.42,1,England,Melbourne,14 Feb 2015
TM Head,/ci/content/player/530011.html,54,31,48,3,0,64.58,2,Sri Lanka,Colombo (RPS),24 Aug 2016
MR Marsh,/ci/content/player/272450.html,28,31,25,5,1,124.00,1,South Africa,Centurion,30 Sep 2016
NM Lyon,/ci/content/player/272279.html,51,30,31,4,0,96.77,2,South Africa,Providence,7 Jun 2016
