Player,Player Link,Maidens,Overs,Runs,Wickets,Economy,Inns,Opposition,Ground,Start Date
MA Starc,/ci/content/player/311592.html,0,9.0,28,6,3.11,2,New Zealand,Auckland,28 Feb 2015
MA Starc,/ci/content/player/311592.html,2,10.0,43,6,4.30,1,India,Melbourne,18 Jan 2015
JW Hastings,/ci/content/player/228622.html,0,10.0,45,6,4.50,1,Sri Lanka,Dambulla,31 Aug 2016
JR Hazlewood,/ci/content/player/288284.html,0,9.0,52,6,5.77,1,New Zealand,Birmingham,2 Jun 2017
MR Marsh,/ci/content/player/272450.html,0,9.0,33,5,3.66,2,England,Melbourne,14 Feb 2015
JR Hazlewood,/ci/content/player/288284.html,1,9.4,50,5,5.17,2,West Indies,Bridgetown,26 Jun 2016
KW Richardson,/ci/content/player/272262.html,1,10.0,68,5,6.80,2,India,Canberra,20 Jan 2016
MA Starc,/ci/content/player/311592.html,1,4.4,14,4,3.00,1,Scotland,Hobart,14 Mar 2015
MG Johnson,/ci/content/player/6033.html,0,7.3,22,4,2.93,2,Afghanistan,Perth,4 Mar 2015
MR Marsh,/ci/content/player/272450.html,0,6.0,27,4,4.50,1,England,Manchester,13 Sep 2015
MA Starc,/ci/content/player/311592.html,2,8.3,29,4,3.41,1,Bangladesh,The Oval,5 Jun 2017
JP Faulkner,/ci/content/player/270484.html,1,7.0,32,4,4.57,2,Pakistan,Brisbane,13 Jan 2017
JR Hazlewood,/ci/content/player/288284.html,1,10.0,35,4,3.50,1,Pakistan,Adelaide,20 Mar 2015
JP Faulkner,/ci/content/player/270484.html,1,10.0,38,4,3.80,1,Sri Lanka,Colombo (RPS),21 Aug 2016
PJ Cummins,/ci/content/player/489889.html,0,10.0,41,4,4.10,2,New Zealand,Canberra,6 Dec 2016
MA Starc,/ci/content/player/311592.html,0,8.5,42,4,4.75,1,England,Sydney,16 Jan 2015
MA Starc,/ci/content/player/311592.html,1,9.1,42,4,4.58,2,Pakistan,Adelaide,26 Jan 2017
GJ Maxwell,/ci/content/player/325026.html,0,9.0,46,4,5.11,2,England,Perth,1 Feb 2015
PJ Cummins,/ci/content/player/489889.html,0,10.0,49,4,4.90,2,England,Leeds,11 Sep 2015
PJ Cummins,/ci/content/player/489889.html,0,8.3,56,4,6.58,2,England,Lord's,5 Sep 2015
JW Hastings,/ci/content/player/228622.html,0,10.0,58,4,5.80,1,India,Melbourne,17 Jan 2016
NM Coulter-Nile,/ci/content/player/261354.html,0,4.4,13,3,2.78,2,Ireland,Belfast,27 Aug 2015
A Zampa,/ci/content/player/379504.html,0,5.3,16,3,2.90,1,West Indies,Providence,5 Jun 2016
JW Hastings,/ci/content/player/228622.html,2,10.0,21,3,2.10,1,England,Manchester,13 Sep 2015
MG Johnson,/ci/content/player/6033.html,2,7.0,27,3,3.85,2,England,Perth,1 Feb 2015
MG Johnson,/ci/content/player/6033.html,0,9.0,30,3,3.33,1,New Zealand,Melbourne,29 Mar 2015
MR Marsh,/ci/content/player/272450.html,1,10.0,32,3,3.20,2,West Indies,Bridgetown,26 Jun 2016
MA Starc,/ci/content/player/311592.html,1,10.0,32,3,3.20,1,Sri Lanka,Colombo (RPS),21 Aug 2016
JR Hazlewood,/ci/content/player/288284.html,0,10.0,32,3,3.20,1,Pakistan,Perth,19 Jan 2017
PJ Cummins,/ci/content/player/489889.html,0,8.4,33,3,3.80,2,Pakistan,Brisbane,13 Jan 2017
MR Marsh,/ci/content/player/272450.html,0,6.0,34,3,5.66,1,New Zealand,Hamilton,8 Feb 2016
