batid,bowlid,comm,inns,oa,ou,ovr,r,rt,x,y,z
300631,311592,"143ks first up, no swing, spears it full and outside off, Kusal jabs with an angled bat and runs an outside edge to third man",1,0.1,0.01,0.1,1,1,257,44,1
48472,311592,"Starc finds some inswing now, pretty full in length, Dilshan nearly falls over as he flicks. Mis-hits towards midwicket",1,0.2,0.02,0.2,0,0,219,193,3
48472,311592,"pretty full and outside off, Dilshan doesn't need any second invitations for the drive. His foot does not meet the pitch. Reaches out with hard hands and slashes an outside edge to third man",1,0.3,0.03,0.3,1,1,117,42,8
300631,311592,"Starc goes too full and down the leg side, swings away further, excellent take by Wade, flying to his right",1,0.4,0.04,0.4,0,1,0,0,0
300631,311592,"bowled'em! <strong>Wicket no.99 for Starc</strong>. Lurking behind Saqlain. 141ks, Pretty full again, this time the line is bang on target. On the off stump, angled in. Perera hacks across the line and can't touch it. Starc bursts through the gate and barges into Kusal's castle. Success in his first over for the visitors. The off stump is knocked out. What a sight for a fast bowler!",1,0.4,0.05,0.4,0,0,0,0,0
629074,311592,"pitched up and angled away outside off, tempter. Mendis is drawn into a drive and is beaten",1,0.5,0.06,0.5,0,0,0,0,0
629074,311592,"143ks full and outside off again, Mendis chases. Jabs to the slip cordon. Does not carry to Finch",1,0.6,0.07,0.6,1,1,135,96,8
629074,288284,"overpitched and outside off, driven out to the covers",1,1.1,1.01,1.1,0,0,118,191,6
629074,288284,"back of a length and goes straight on outside off, Mendis plays as late as possible. Dabbing it down to third man",1,1.2,1.02,1.2,1,1,99,63,8
48472,288284,"Hazlewood puts it on a good length outside off, it kicks up and screams at Dilshan. Skirts past the outside edge of the hanging bat",1,1.3,1.03,1.3,0,0,0,0,0
48472,288284,"Hazlewood now brings out his carving knife and chops Dilshan into half. Seams back in sharply from outside off, bursts through the gate and bounces over the top of the off stump",1,1.4,1.04,1.4,0,0,0,0,0
48472,288284,"back of a length and just a shade outside off, Dilshan throws his hands at a jabbing drive. Mistimed back to Hazlewood",1,1.5,1.05,1.5,0,0,180,190,4
48472,288284,"full incoming delivery at off stump, Dilshan stretches forward and pushes it down the ground, towards mid-on for one",1,1.6,1.06,1.6,0,0,221,222,4
629074,311592,"nice and full outside off, tips forward and middles a drive to the covers. Lovely front-foot stride",1,2.1,2.01,2.1,0,0,130,187,6
629074,311592,"Starc drags his length back on off stump, 141ks, Mendis is on his tippy toes blunting it to the off side",1,2.2,2.02,2.2,0,0,145,167,6
629074,311592,"143ks,<em> flies</em> through to Wade. Bouncer, angling away, Mendis handled it manly. Swayed his upper body out of the way. Good cricket all round",1,2.3,2.03,2.3,0,0,0,0,0
629074,311592,"Mendis jumps and gets on top of a short one angled away outside off, punched out to point",1,2.4,2.04,2.4,0,0,115,171,6
629074,311592,"very full and outside off, 144.2ks, another nice-looking drive, but straight to cover",1,2.5,2.05,2.5,0,0,117,192,6
629074,311592,"nice and full, 142ks, leaves Mendis outside off. Whistles past the outside edge. Starc is cranking it up",1,2.6,2.06,2.6,0,0,0,0,0
48472,288284,back of a length and seams in to rap Dilshan on the front thigh in line with middle. <strong>Would have bounced over</strong>. Umpire Dar shot down the lbw appeal. The batsman toppled over the flick,1,3.1,3.01,3.1,0,0,174,164,7
48472,288284,"another incoming delivery, back of a length, pushed down the ground",1,3.2,3.02,3.2,0,0,199,210,4
48472,288284,"Hazlewood tests Dilshan with a chest-high lifter outside off. He rolls his wrists on it, tames it, and pulls down towards fine leg",1,3.3,3.03,3.3,1,1,272,55,1
629074,288284,"length and angled in, Mendis uses the angle and tucks to the right of the square-leg ump",1,3.4,3.04,3.4,1,1,330,135,2
48472,288284,"attempted short ball, barely rises bail-high, does not come onto the bat either. Dilshan pulls and sends a thick inside edge that runs away past the leg stump",1,3.5,3.05,3.5,4,4,231,6,1
48472,288284,"the slowness of the surface to the fore, again. Dug in short and outside off, Dilshan, having shimmied out, has ample time to pull it from outside off to the midwicket fence",1,3.6,3.06,3.6,4,4,350,234,3
629074,311592,"good length and angling away in the channel outside off, 141ks, Mendis ignores it",1,4.1,4.01,4.1,0,0,0,0,0
