batid,bowlid,comm,inns,oa,ou,ovr,r,rt,x,y,z
277916,235514,"length delivery on the off stump, Rahane guides it towards third man easily",1,0.1,0.01,0.1,1,1,78,78,7
237095,235514,leans forward a bit to help the length delivery to point,1,0.2,0.02,0.2,0,0,123,196,6
237095,235514,back of length towards the hips and it's tucked away towards square leg for one,1,0.3,0.03,0.3,1,1,294,105,2
277916,235514,"slightly fuller towards the off stump, pushed down to mid off, off the front foot",1,0.4,0.04,0.4,0,0,154,196,5
277916,235514,touch wider outside off and he leans forward to push to cover now,1,0.5,0.05,0.5,0,0,116,172,6
277916,235514,much wider outside off and Rahane chases it with a big lean outside and misses. Very very risky early on,1,0.6,0.06,0.6,0,0,0,0,0
237095,392945,"angled in from short of length towards leg, helped to fine leg for one",1,1.1,1.01,1.1,2,2,272,61,1
237095,392945,"nice line this time outside off, just back of length and he leaves it alone",1,1.2,1.02,1.2,0,0,0,0,0
237095,392945,back of length again outside off and left easily,1,1.3,1.03,1.3,0,0,0,0,0
237095,392945,"length delivery towards off now, pushed down to mid-on this time",1,1.4,1.04,1.4,0,0,232,190,3
237095,392945,"length delivery on off without much pace, pushed back",1,1.5,1.05,1.5,0,0,129,186,6
237095,392945,"back of length outside off, Vijay cuts and gets an inside edge on the pads",1,1.6,1.06,1.6,0,0,143,182,6
277916,235514,"length delivery on off, he leans forward and pushes into the covers",1,2.1,2.01,2.1,0,0,138,183,6
277916,235514,errs down the leg side for a wide now,1,2.2,2.02,2.2,0,1,0,0,0
277916,235514,"middle-stump line now from wide of the crease, Rahane stays back and tucks it to midwicket",1,2.2,2.03,2.2,0,0,222,210,4
277916,235514,"wider outside off, there's room and Rahane drives that away from the body through the covers for four",1,2.3,2.04,2.3,4,4,10,199,6
277916,235514,back to good-length closer to off and it's pushed back,1,2.4,2.05,2.4,0,0,164,224,5
277916,235514,pushes this one with soft hands a bit wide of mid-off for a quick single,1,2.5,2.06,2.5,1,1,151,221,5
237095,235514,"on length on off now, he defends it back",1,2.6,2.07,2.6,0,0,184,200,4
277916,392945,"angled in from back of length, helped to the leg side for one",1,3.1,3.01,3.1,1,1,227,194,3
237095,392945,"length delivery just outside off, he defends it back",1,3.2,3.02,3.2,0,0,208,186,3
237095,392945,drives it nicely into the covers and Raza dives to his right to save a few runs. Great effort,1,3.3,3.03,3.3,0,0,130,197,6
237095,392945,back of length now outside off and it's punched straight to cover,1,3.4,3.04,3.4,0,0,130,176,6
237095,392945,"gets this one inside from outside off, Vijay shoulders arms",1,3.5,3.05,3.5,0,0,0,0,0
237095,392945,touch fuller outside off and pushed down to mid-off gently,1,3.6,3.06,3.6,0,0,142,206,5
277916,235514,slightly full and wide and Rahane leans into it to unleash another drive for four,1,4.1,4.01,4.1,4,4,28,254,6
277916,235514,good-length ball now and it's pushed into the covers,1,4.2,4.02,4.2,0,0,148,201,5
277916,235514,straighter delivery on length and it's turned down to mid-on for a quick single,1,4.3,4.03,4.3,1,1,218,195,3
237095,235514,bit of room outside off and Vijay helps it towards point for another quick single,1,4.4,4.04,4.4,1,1,111,184,6
277916,235514,"on length on the off stump, pushed down gently to mid-off",1,4.5,4.05,4.5,0,0,163,239,5
