Player,Player Link,Minutes,Runs,Balls Faced,Fours,Sixes,Strike Rate,Inns,Opposition,Ground,Start Date
RG Sharma,/ci/content/player/34102.html,205,171*,163,13,7,104.90,1,Australia,Perth,12 Jan 2016
V Kohli,/ci/content/player/253802.html,202,154*,134,16,1,114.92,2,New Zealand,Mohali,23 Oct 2016
RG Sharma,/ci/content/player/34102.html,215,150,133,13,6,112.78,2,South Africa,Kanpur,11 Oct 2015
Yuvraj Singh,/ci/content/player/36084.html,183,150,127,21,3,118.11,1,England,Cuttack,19 Jan 2017
RG Sharma,/ci/content/player/34102.html,228,138,139,9,4,99.28,1,Australia,Melbourne,18 Jan 2015
V Kohli,/ci/content/player/253802.html,202,138,140,6,5,98.57,1,South Africa,Chennai,22 Oct 2015
S Dhawan,/ci/content/player/28235.html,199,137,146,16,2,93.83,1,South Africa,Melbourne,22 Feb 2015
RG Sharma,/ci/content/player/34102.html,223,137,126,14,3,108.73,1,Bangladesh,Melbourne,19 Mar 2015
MS Dhoni,/ci/content/player/28081.html,203,134,122,10,6,109.83,1,England,Cuttack,19 Jan 2017
S Dhawan,/ci/content/player/28235.html,-,132*,90,20,3,146.66,2,Sri Lanka,Dambulla,20 Aug 2017
V Kohli,/ci/content/player/253802.html,-,131,96,17,2,136.45,1,Sri Lanka,Colombo (RPS),31 Aug 2017
S Dhawan,/ci/content/player/28235.html,154,126,113,14,2,111.50,2,Australia,Canberra,20 Jan 2016
S Dhawan,/ci/content/player/28235.html,198,125,128,15,1,97.65,1,Sri Lanka,The Oval,8 Jun 2017
AT Rayudu,/ci/content/player/33141.html,199,124*,133,12,1,93.23,1,Zimbabwe,Harare,10 Jul 2015
RG Sharma,/ci/content/player/34102.html,-,124*,145,16,2,85.51,2,Sri Lanka,Pallekele,27 Aug 2017
RG Sharma,/ci/content/player/34102.html,175,124,127,11,3,97.63,1,Australia,Brisbane,15 Jan 2016
RG Sharma,/ci/content/player/34102.html,165,123*,129,15,1,95.34,2,Bangladesh,Birmingham,15 Jun 2017
V Kohli,/ci/content/player/253802.html,147,122,105,8,5,116.19,2,England,Pune,15 Jan 2017
KM Jadhav,/ci/content/player/290716.html,125,120,76,12,4,157.89,2,England,Pune,15 Jan 2017
V Kohli,/ci/content/player/253802.html,174,117,117,7,2,100.00,1,Australia,Melbourne,17 Jan 2016
V Kohli,/ci/content/player/253802.html,-,111*,115,12,2,96.52,2,West Indies,Kingston,6 Jul 2017
SK Raina,/ci/content/player/33335.html,141,110*,104,9,4,105.76,2,Zimbabwe,Auckland,14 Mar 2015
V Kohli,/ci/content/player/253802.html,-,110*,116,9,0,94.82,2,Sri Lanka,Colombo (RPS),3 Sep 2017
V Kohli,/ci/content/player/253802.html,168,107,126,8,0,84.92,1,Pakistan,Adelaide,15 Feb 2015
V Kohli,/ci/content/player/253802.html,131,106,92,11,1,115.21,2,Australia,Canberra,20 Jan 2016
KM Jadhav,/ci/content/player/290716.html,110,105*,87,12,1,120.68,1,Zimbabwe,Harare,14 Jul 2015
MK Pandey,/ci/content/player/290630.html,129,104*,81,8,1,128.39,2,Australia,Sydney,23 Jan 2016
RG Sharma,/ci/content/player/34102.html,-,104,88,11,3,118.18,1,Sri Lanka,Colombo (RPS),31 Aug 2017
AM Rahane,/ci/content/player/277916.html,-,103,104,10,2,99.03,1,West Indies,Port of Spain,25 Jun 2017
KL Rahul,/ci/content/player/422108.html,176,100*,115,7,1,86.95,2,Zimbabwe,Harare,11 Jun 2016
S Dhawan,/ci/content/player/28235.html,119,100,85,11,5,117.64,2,Ireland,Hamilton,10 Mar 2015
RG Sharma,/ci/content/player/34102.html,142,99,108,9,1,91.66,2,Australia,Sydney,23 Jan 2016
V Kohli,/ci/content/player/253802.html,96,96*,78,13,0,123.07,2,Bangladesh,Birmingham,15 Jun 2017
MS Dhoni,/ci/content/player/28081.html,144,92*,86,7,4,106.97,1,South Africa,Indore,14 Oct 2015
V Kohli,/ci/content/player/253802.html,148,91,97,9,1,93.81,1,Australia,Perth,12 Jan 2016
RG Sharma,/ci/content/player/34102.html,146,91,119,7,2,76.47,1,Pakistan,Birmingham,4 Jun 2017
KM Jadhav,/ci/content/player/290716.html,118,90,75,12,1,120.00,2,England,Kolkata,22 Jan 2017
AM Rahane,/ci/content/player/277916.html,107,89,80,6,1,111.25,1,Australia,Brisbane,15 Jan 2016
AM Rahane,/ci/content/player/277916.html,87,87,58,9,3,150.00,2,South Africa,Mumbai,25 Oct 2015
S Dhawan,/ci/content/player/28235.html,-,87,92,8,2,94.56,1,West Indies,Port of Spain,23 Jun 2017
V Kohli,/ci/content/player/253802.html,-,87,66,4,4,131.81,1,West Indies,Port of Spain,25 Jun 2017
MS Dhoni,/ci/content/player/28081.html,113,85*,76,8,2,111.84,2,Zimbabwe,Auckland,14 Mar 2015
V Kohli,/ci/content/player/253802.html,109,85*,81,9,1,104.93,2,New Zealand,Dharamsala,16 Oct 2016
HH Pandya,/ci/content/player/625371.html,-,83,66,5,5,125.75,1,Australia,Chennai,17 Sep 2017
V Kohli,/ci/content/player/253802.html,-,82*,70,10,1,117.14,2,Sri Lanka,Dambulla,20 Aug 2017
V Kohli,/ci/content/player/253802.html,108,81*,68,6,3,119.11,1,Pakistan,Birmingham,4 Jun 2017
MS Dhoni,/ci/content/player/28081.html,122,80,91,6,3,87.91,2,New Zealand,Mohali,23 Oct 2016
AM Rahane,/ci/content/player/277916.html,90,79,60,7,3,131.66,1,South Africa,Melbourne,22 Feb 2015
MS Dhoni,/ci/content/player/28081.html,-,79,88,4,2,89.77,1,Australia,Chennai,17 Sep 2017
MS Dhoni,/ci/content/player/28081.html,-,78*,79,4,2,98.73,1,West Indies,North Sound,30 Jun 2017
S Dhawan,/ci/content/player/28235.html,69,78,56,7,3,139.28,2,Australia,Sydney,23 Jan 2016
RG Sharma,/ci/content/player/34102.html,107,78,79,6,3,98.73,1,Sri Lanka,The Oval,8 Jun 2017
S Dhawan,/ci/content/player/28235.html,130,78,83,12,1,93.97,2,South Africa,The Oval,11 Jun 2017
STR Binny,/ci/content/player/27223.html,92,77,76,6,2,101.31,1,Zimbabwe,Harare,10 Jul 2015
V Kohli,/ci/content/player/253802.html,155,77,99,5,0,77.77,2,South Africa,Rajkot,18 Oct 2015
V Kohli,/ci/content/player/253802.html,136,76*,101,7,1,75.24,2,South Africa,The Oval,11 Jun 2017
HH Pandya,/ci/content/player/625371.html,46,76,43,4,6,176.74,2,Pakistan,The Oval,18 Jun 2017
S Dhawan,/ci/content/player/28235.html,118,75,73,10,0,102.73,1,Bangladesh,Dhaka,24 Jun 2015
SK Raina,/ci/content/player/33335.html,78,74,56,5,3,132.14,1,Pakistan,Adelaide,15 Feb 2015
AM Rahane,/ci/content/player/277916.html,152,73,101,3,1,72.27,1,England,Perth,30 Jan 2015
S Dhawan,/ci/content/player/28235.html,136,73,76,7,1,96.05,1,Pakistan,Adelaide,15 Feb 2015
M Vijay,/ci/content/player/237095.html,135,72,95,1,2,75.78,1,Zimbabwe,Harare,12 Jul 2015
AM Rahane,/ci/content/player/277916.html,-,72,112,4,1,64.28,1,West Indies,North Sound,30 Jun 2017
MK Pandey,/ci/content/player/290630.html,104,71,86,4,1,82.55,1,Zimbabwe,Harare,14 Jul 2015
RG Sharma,/ci/content/player/34102.html,107,70,65,5,3,107.69,1,New Zealand,Visakhapatnam,29 Oct 2016
MS Dhoni,/ci/content/player/28081.html,112,69,77,6,1,89.61,1,Bangladesh,Dhaka,24 Jun 2015
S Dhawan,/ci/content/player/28235.html,108,68,91,9,0,74.72,1,Australia,Melbourne,17 Jan 2016
S Dhawan,/ci/content/player/28235.html,95,68,65,6,1,104.61,1,Pakistan,Birmingham,4 Jun 2017
MS Dhoni,/ci/content/player/28081.html,-,67*,86,4,1,77.90,2,Sri Lanka,Pallekele,27 Aug 2017
SK Raina,/ci/content/player/33335.html,81,65,57,7,1,114.03,1,Bangladesh,Melbourne,19 Mar 2015
MS Dhoni,/ci/content/player/28081.html,94,65,65,3,2,100.00,2,Australia,Sydney,26 Mar 2015
RG Sharma,/ci/content/player/34102.html,95,65,74,7,2,87.83,2,South Africa,Rajkot,18 Oct 2015
V Kohli,/ci/content/player/253802.html,152,65,76,2,1,85.52,1,New Zealand,Visakhapatnam,29 Oct 2016
RG Sharma,/ci/content/player/34102.html,99,64,66,3,3,96.96,2,Ireland,Hamilton,10 Mar 2015
