Player,Player Link,Maidens,Overs,Runs,Wickets,Economy,Inns,Opposition,Ground,Start Date
A Mishra,/ci/content/player/31107.html,2,6.0,18,5,3.00,2,New Zealand,Visakhapatnam,29 Oct 2016
JJ Bumrah,/ci/content/player/625383.html,2,10.0,27,5,2.70,1,Sri Lanka,Pallekele,27 Aug 2017
B Kumar,/ci/content/player/326016.html,0,9.4,42,5,4.34,1,Sri Lanka,Colombo (RPS),3 Sep 2017
JJ Bumrah,/ci/content/player/625383.html,1,10.0,22,4,2.20,1,Zimbabwe,Harare,15 Jun 2016
R Ashwin,/ci/content/player/26421.html,1,10.0,25,4,2.50,1,U.A.E.,Perth,28 Feb 2015
JJ Bumrah,/ci/content/player/625383.html,2,9.5,28,4,2.84,1,Zimbabwe,Harare,11 Jun 2016
UT Yadav,/ci/content/player/376116.html,1,9.0,31,4,3.44,2,Bangladesh,Melbourne,19 Mar 2015
B Kumar,/ci/content/player/326016.html,3,10.0,33,4,3.30,2,Zimbabwe,Harare,12 Jul 2015
Mohammed Shami,/ci/content/player/481896.html,1,9.0,35,4,3.88,2,Pakistan,Adelaide,15 Feb 2015
JJ Bumrah,/ci/content/player/625383.html,2,10.0,43,4,4.30,1,Sri Lanka,Pallekele,24 Aug 2017
Mohammed Shami,/ci/content/player/481896.html,0,10.0,48,4,4.80,1,West Indies,Kingston,6 Jul 2017
UT Yadav,/ci/content/player/376116.html,0,9.0,72,4,8.00,1,Australia,Sydney,26 Mar 2015
I Sharma,/ci/content/player/236779.html,0,10.0,77,4,7.70,1,Australia,Canberra,20 Jan 2016
YS Chahal,/ci/content/player/430246.html,2,6.0,25,3,4.16,1,Zimbabwe,Harare,13 Jun 2016
R Ashwin,/ci/content/player/26421.html,1,10.0,28,3,2.80,2,West Indies,North Sound,30 Jun 2017
KM Jadhav,/ci/content/player/290716.html,0,5.0,29,3,5.80,1,New Zealand,Mohali,23 Oct 2016
UT Yadav,/ci/content/player/376116.html,1,7.4,30,3,3.91,2,Pakistan,Birmingham,4 Jun 2017
YS Chahal,/ci/content/player/430246.html,0,5.0,30,3,6.00,2,Australia,Chennai,17 Sep 2017
HH Pandya,/ci/content/player/625371.html,0,7.0,31,3,4.42,1,New Zealand,Dharamsala,16 Oct 2016
STR Binny,/ci/content/player/27223.html,0,8.0,33,3,4.12,2,England,Perth,30 Jan 2015
AR Patel,/ci/content/player/554691.html,0,10.0,34,3,3.40,1,Sri Lanka,Dambulla,20 Aug 2017
Mohammed Shami,/ci/content/player/481896.html,2,8.0,35,3,4.37,1,West Indies,Perth,6 Mar 2015
JJ Bumrah,/ci/content/player/625383.html,0,10.0,35,3,3.50,1,New Zealand,Delhi,20 Oct 2016
UT Yadav,/ci/content/player/376116.html,1,10.0,36,3,3.60,1,West Indies,North Sound,2 Jul 2017
AR Patel,/ci/content/player/554691.html,0,10.0,39,3,3.90,2,South Africa,Indore,14 Oct 2015
HH Pandya,/ci/content/player/625371.html,0,10.0,40,3,4.00,1,West Indies,North Sound,2 Jul 2017
R Ashwin,/ci/content/player/26421.html,0,10.0,41,3,4.10,2,South Africa,Melbourne,22 Feb 2015
Mohammed Shami,/ci/content/player/481896.html,0,9.0,41,3,4.55,1,Ireland,Hamilton,10 Mar 2015
B Kumar,/ci/content/player/326016.html,0,8.4,41,3,4.73,2,South Africa,Indore,14 Oct 2015
