id,p,team
226492,Martin Guptill,1
37737,Brendon McCullum,1
277906,Kane Williamson,1
38699,Ross Taylor,1
44956,Grant Elliott,1
277662,Corey Anderson,1
7502,Luke Ronchi,1
38710,Daniel Vettori,1
232364,Tim Southee,1
506612,Matt Henry,1
277912,Trent Boult,1
219889,David Warner,2
5334,Aaron Finch,2
267192,Steven Smith,2
4578,Michael Clarke,2
8180,Shane Watson,2
325026,Glenn Maxwell,2
270484,James Faulkner,2
5560,Brad Haddin,2
6033,Mitchell Johnson,2
311592,Mitchell Starc,2
288284,Josh Hazlewood,2
