id,p,team
226492,Martin Guptill,1
388802,Tom Latham,1
277906,Kane Williamson,1
38699,Ross Taylor,1
355269,James Neesham,1
38924,BJ Watling,1
36948,Anton Devcich,1
502714,Mitchell Santner,1
232364,Tim Southee,1
277912,Trent Boult,1
559066,Ish Sodhi,1
277916,Ajinkya Rahane,2
34102,Rohit Sharma,2
253802,Virat Kohli,2
28081,MS Dhoni,2
554691,Axar Patel,2
290630,Manish Pandey,2
290716,Kedar Jadhav,2
625371,Hardik Pandya,2
31107,Amit Mishra,2
277955,Dhawal Kulkarni,2
376116,Umesh Yadav,2
